stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
12hpf,0,1.76,0,0,0,0,0
2dpf,0,0.96,1.66,2.01,2.09,2.08,1.47
3dpf,10.74,0,0.47,2.06,10.1,0,0
5dpf,0,0.55,2.57,1.03,5.45,0.74,1.6
10dpf,7.25,0.43,0.56,1.69,0.71,0,0.38
