stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,2.88,0.89,0.57,1.96,0,0
3dpf,1.56,0,0,0.94,0,0
5dpf,0,0,0,0,1.12,1.5
