stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,20.23,0,55.9
12hpf,10.4,8.76,0,14.54,6.36,0,0,103.38,5.99,345.13
14hpf,35.59,5.1,24.56,11.23,0,3.67,3.58,73.42,8.36,2267.6
16hpf,64.1,65.77,28.74,29.73,45.4,4.56,1.8,128.85,46.71,3480.96
19hpf,5.73,3.12,3.22,11.69,11.85,0,1.56,34.3,4.96,2654.27
24hpf,12.64,7.26,2.96,6.24,23.91,7.1,4.38,9.1,22.89,982.99
2dpf,119.72,1.58,15.94,42.59,67.63,125.32,40.82,1.61,66.8,593.43
3dpf,161.81,23.66,1.42,17.41,18.18,186.59,3.8,0,12.92,103.49
5dpf,93.91,14.94,13.58,46.85,17.13,304.51,38.53,12.48,45.03,433.79
10dpf,193.94,30.9,7.03,30.33,17.53,253.78,12.37,0,40.59,103.64
