stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,91.2
12hpf,0,0,0,0,0,0,0,0,82.7
14hpf,0,0,0,0,0,0,0,0,104.7
16hpf,0,0,0,5.58,0,0,0,0,106.3
19hpf,0,0,0,1.67,4.95,0,0,0,25
24hpf,0.9,0,0,0,3.11,0,0,0.95,18.8
2dpf,6.81,0,0,10.4,45.74,31.64,0.67,5.43,59.29
3dpf,9,0,0.33,6.66,13.91,115.9,1.98,0.56,10.63
5dpf,2.41,0.65,1.16,1.03,8.83,70.39,0,1.81,46.12
10dpf,2.01,0,1.61,15.04,3.17,25.66,0,0,7.36
