stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,1.19,2.79,0.87,1.94,0,1.49
3dpf,4.62,1.56,0,5.99,0.4,0.36
5dpf,0,15.45,0.32,0,0,0
10dpf,1.84,11.61,0,1.35,0,0
