stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0,0,1.37,0
3dpf,0,0.29,0,0
5dpf,0.3,0.7,0,0
10dpf,0.78,0.4,0,1.71
