stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,2.89,0,0,0,0,0
3dpf,8.3,0,0.33,1.64,0,0
5dpf,0.57,0.98,0,0.32,0.31,1.59
10dpf,5.99,2.95,0,3.78,0,2.49
