stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,15.39,0,0,0,0,0,0,0,0
12hpf,4.6,0,0,0,0,0,0,0,0
14hpf,2.3,0,0,0,0,0,0,0,0
16hpf,3.3,0,0,8.63,0,0,0,0,0
19hpf,12.8,0,0,10.92,0,0,0,0,0
24hpf,21.79,0,0,0,0,0,1.05,0.84,0
2dpf,67.94,0,0,3.85,3.43,6.07,1.91,0.98,2.05
3dpf,102.7,0.41,0.64,2.77,0,0.88,0.66,0.46,0
5dpf,74.13,0.61,0.7,6.69,1.07,11.6,2.27,0,2.04
10dpf,60.46,0.86,0,4.13,0,5.84,5.08,0,0
