stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,periderm
14hpf,0,0,0,0,0,5.15
24hpf,0,0,0,0,0,0.94
2dpf,1.88,0,0.82,0,0,2.82
3dpf,4.17,25.9,0,2.4,0,0.67
5dpf,2.49,14.43,4.67,10.34,0.65,9.48
10dpf,5.42,46.04,1.93,1.24,0,1.08
