stage,central_nervous_system,intermediate_mesoderm,paraxial_mesoderm,periderm
24hpf,0,0,0,0.82
2dpf,0,0,0.71,0
3dpf,2.25,0,0,0
5dpf,0.54,0,0.92,1.06
10dpf,1.09,1.29,0,0.39
