stage,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,2.1,0.55,96.12
3dpf,0,0,0,0.4,0.32
5dpf,0.4,0.3,0.86,0,8.31
10dpf,0,0,0,0,1.39
