stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,1.3,0,0,1.45,0
3dpf,33.9,0,0.34,0.51,0,0
5dpf,0,2.74,0,1.14,0,0
10dpf,33.85,4.18,0,0,0,1.02
