stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,2.05,1.62,2.38,0,0
3dpf,1.73,0,0.48,0,0.51
5dpf,1.15,0,0.73,0,0
10dpf,4.85,0,6.4,0.85,0
