stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2652.58,15.2,0,68.59,0,0,0,117.89,151.6
12hpf,1629.91,0,0,31.4,9.1,0,22.12,184.7,90
14hpf,191.05,2.79,2.43,5.09,0,0,3.81,30.06,2.61
16hpf,93.34,0,0,0,3.11,0,2.05,24.88,0
19hpf,100.66,0,0,0,0,0,0,9.23,0
24hpf,60.13,0,0,0,0,0,0,2.16,1.34
2dpf,12.47,0,0,0,0.77,0,0,3.56,0
3dpf,0.35,0,0,0,0.89,0,0,0,0.66
5dpf,6.32,1.16,0,0,0.36,0.7,0,0,0
10dpf,0,2.18,0,0,0,0,0,0,0
