stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.07,0.87,0,0.95,0.62,0,0.48
3dpf,0.78,0,0.84,0,0,0.49,0
5dpf,0,0.79,0,0,0.35,2.09,0
10dpf,1.56,0,0,0.96,0,0.42,0
