stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
3dpf,21.58,0,0,0,0.35,0,0,0
5dpf,6.47,0.78,0,0.65,4.27,1.98,0.37,3.1
10dpf,103.36,0,1.71,0,0.6,0,1.28,1.35
