stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0.64,0,3.26
3dpf,2.09,0.29,0,0,0.97,0.63
5dpf,0.44,1.38,0.3,0,0,1.39
10dpf,0,0,0,0,0,0.8
