stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
10hpf,58.77,0,10.64,0,8.51,0,0,22.14
12hpf,92.72,0,2.27,0,14.09,1.95,8.09,41.08
14hpf,63.73,2.35,31.25,0,24.77,15.31,19.82,19.89
16hpf,0,11.01,0,1.87,2.38,1.75,2.57,0
19hpf,26.93,12.25,0,0,2.36,3.55,1.54,24.41
24hpf,2.92,0,0,0,0.81,0,0,0.94
2dpf,12.82,3.12,1.98,1.05,1.07,4.69,2.16,11.33
3dpf,13.86,1.36,0,0,0,0.63,0,0
5dpf,7.38,0,0,0,0,5.74,1.08,9.65
10dpf,4.93,1.11,0,0,0,0.61,0,0
