stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,5.97,0,0,0.66,26.58,78.31,1.94,0.61
3dpf,2.02,0.92,0,0,226.07,0.53,0,0.41
5dpf,15.63,4.74,0.44,2.31,701.47,111.98,2.1,6
10dpf,2.07,0,0,0,27.47,0.44,0,0
