stage,central_nervous_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,3.81,4.09,4.16,0,0
3dpf,10.64,0.88,9.73,0.31,1.66
5dpf,1.48,0.88,6.04,0,0.29
10dpf,4.34,0,1.66,0,0
