stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,768.34,0,0,0,145.52,35.38,0,0,0
12hpf,757.36,0,0,0,431.5,227,0,7.81,62.38
14hpf,440.11,0,0,0,98.33,162.51,0,5.92,156.24
16hpf,224.32,0,0,0,38.69,50.32,2.24,2.05,156.54
19hpf,457.41,0,0,0,5.97,9.71,0,0,23.51
24hpf,379.08,0,2.66,0.97,0,2.7,0,13.72,1.17
2dpf,93.79,0,3.31,0,12.69,30.7,5.75,17.11,3.72
3dpf,577.47,1.07,0.36,0,0,11.24,0,0.97,1.73
5dpf,25.75,0,0.75,1.77,1.99,18.24,2.53,1.73,7.15
10dpf,275.85,2.15,2.23,1.42,0,14.25,3.84,2.39,2.03
