stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,1.95,0,0.71,0
3dpf,0.91,0.69,0,0.34,0.53,0
10dpf,0,0.41,0,0.48,0,0.85
