stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,7.12,0.59,0
3dpf,0,3.48,0,0
5dpf,0,3.12,0,0.41
10dpf,0.5,2.7,0,0
