stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,6.13,0.84,2.07,1.71,0,0,3.14,1.37
3dpf,20.2,0,0,1.54,17.74,0,0,0
5dpf,0.4,0,1.1,0.77,5.24,1.07,1.94,0.78
10dpf,4.31,1.71,1.17,3.3,15.2,0,0,1.34
