stage,central_nervous_system,endoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0,0.56,0,0,0
3dpf,2.41,1.17,0,0,0,0.7
5dpf,0,0,0,0.98,0.35,2.69
10dpf,0,0.91,0.64,0,0,2.77
