stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm
2dpf,0,6.16,0.88,0
3dpf,0,0,0,0.52
5dpf,2.37,2.75,0,0
10dpf,0.45,2.61,0,0
