stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,89.58
12hpf,0,0,0,0,0,0,0,0,6.89
14hpf,0,0,0,0,0,0,0,0,41.96
16hpf,0,0,0,0,0,0,0,0,2.16
19hpf,0,0,0,9.84,0,0,0,0,105.88
24hpf,2.52,1.23,0,2.12,0,0,0,0,63.73
2dpf,17.69,0.82,2,7.51,2.44,12.46,0,4.8,453.9
3dpf,26.26,12.12,0.78,3.86,0.31,6.49,0,0.56,126.46
5dpf,6.58,13.14,4.19,12.89,1.35,15.35,0.86,2.67,610.71
10dpf,26.59,11.38,3.12,3.82,0,7.69,2.59,1.25,143.17
