stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0.56,0,0,0,0,5.03,1.36
3dpf,2.61,0.31,0,1.04,11.17,0,1.61
5dpf,0,0,0,1.16,12.79,5.6,6.15
10dpf,3.11,0.56,0.65,0,3.75,0,1.42
