stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,47.55
12hpf,0,0,8.35,0,0,0,0,0,9.29
14hpf,0,0,13.65,0,0,0,0,0,370.39
16hpf,0,0,0,0,0,0,0,0,3.56
19hpf,0,0,1.54,0,0,0,0,0,45.3
24hpf,3.97,0,15.79,0,0,0,0,0,1.85
2dpf,16.28,2.28,4.09,5.16,2.77,2.82,0,0.83,329.02
3dpf,396.18,5.67,1.94,0.77,0.95,12.34,0,0,146.72
5dpf,38.02,7.08,21.64,5.77,1.89,10.29,2.72,3.78,304.02
10dpf,112.18,5.2,3.11,3.07,2.92,6.28,2.34,0.63,80.89
