stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,322.31
12hpf,0,0,0,0,0,0,0,0,39.58
14hpf,0,0,0,0,0,2.81,0,0,496.58
16hpf,0,0,0,0,0,1.63,0,0,29.58
19hpf,0,0,0,0,0,0,0,0,707.45
24hpf,3.64,0,0,0,0,0,0,0,78.53
2dpf,13.32,0,0.99,11.01,0.98,8.06,0.74,0,483.74
3dpf,3.55,2.39,0,1.86,0,1.37,0,0,49.23
5dpf,3.03,0,0.54,0,0,2.92,0.41,1.74,223.63
10dpf,5.32,2.03,0,1.47,0,2.29,0,0.77,77.3
