stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0,0,0.52,0
3dpf,0.76,0,0,0.32
5dpf,0,0.75,0,1.63
10dpf,2.32,1.24,0,0
