stage,central_nervous_system,hematopoietic_system,mesenchyme,notochord,periderm
10hpf,0,0,0,0,21.21
14hpf,0,0,0,0,15.08
19hpf,0,0,0,0,22.82
2dpf,0,1.6,0,0,34.68
3dpf,0.38,0.91,1.14,0,0
5dpf,0,14.24,0.41,1.34,0
10dpf,1.28,1.59,0,0,0
