stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,1.52,0.54,0,0,0,19.98
3dpf,4.06,1.21,0,0,2.3,0.43,0,0
5dpf,1.89,0.46,3.03,0.82,5.06,0.72,0.35,7.28
10dpf,1.39,0.46,1.72,0,2.38,0,0,0
