stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,25.38,0,0,8.84,0,0,0,15.23
12hpf,0,0,0,0,0,0,0,1.94,0
14hpf,0,0,0,0,0,0,0,5.42,0
16hpf,2.15,0,0,0,0,5.01,0,1.78,0
19hpf,6.53,0,0,0,10.56,8.05,0,0,0
24hpf,1,0,0,6.47,0,1.79,15.02,0,0
2dpf,26.51,0,2.15,28.91,15.06,17.1,59.47,7.35,0.78
3dpf,688.45,2.59,3.59,13.56,7.27,63.43,1.41,3.8,2.44
5dpf,25.97,0,1.05,18.19,8,25.97,41.27,7.71,10.44
10dpf,298.7,3.07,4.22,13.95,0.47,26.88,103.08,3.08,9.12
