stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,56.44,0,0,0,0,0,0,0,0
12hpf,53.38,0,0,0,0,0,0,4.63,1.76
14hpf,11.96,0,0,2.34,0,0,0,0,0
16hpf,33.94,0,0,16.12,0,0,0,0,0
19hpf,13.21,0,0,35.15,0,0,0,0,0
24hpf,3.35,0,0,0,0,0,0,0,0
2dpf,75.64,2.27,0,19.97,0,3.41,0.67,0,1.83
3dpf,41.23,0.33,0,13.24,0.69,1.82,0,0,0
5dpf,40.06,0,0.32,10.4,3.91,3.18,2.75,0.73,4.87
10dpf,37.93,0,0.5,4.27,0,1.55,1.06,0,0
