stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,2.29,0,0.53,0,0.59,0.51
3dpf,0,0,0,0,2.05,0,0
5dpf,0,4,0,0.46,2.99,0.36,3.73
10dpf,0.57,8.63,0.76,0.39,1.12,6.71,0
