stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
10hpf,20.53,0,0,0,0,0,0
12hpf,11.44,0,0,0,0,0,0
16hpf,0,0,2.42,0,0,0,0
2dpf,12.87,0,2.57,0.84,0,0,1.62
3dpf,5.43,0,1.57,0,0.31,0,0.34
5dpf,27.11,0.37,4.07,0,3.27,0,2.71
10dpf,8.89,0,5.53,0,0,0.96,0
