stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,1.62,0,0,2.66,1.54,0,0.61,0
3dpf,8.41,0,0,0.48,6.9,0,0,0.64
5dpf,0,0,0.74,0.36,2.61,0.66,0.86,1.01
10dpf,3.2,1.49,2.16,0,4.07,0,0,0
