stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0.82,0,8.21,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,4.83,0,0,0,0,0,0
 48-58,0,0,0.57,0,88.94,0,0,0,0.57,2.87,0,0,1.15,0,0.57,0,36.15,0,0,10.9,0,0,0,3.44,0,0.57
 60-70,0,0,0.98,0,201.21,0.98,0,0,5.89,8.83,0,0,2.94,0,0,0,54.97,0,0.98,17.67,0,0,0,5.89,0,0
 72-82,0,0,0.98,3.93,221.86,0,0.98,0,8.83,21.6,0,0.98,9.82,0,0,0.98,57.92,0,0,47.12,0,0.98,0,2.94,0,1.96
 84-94,0,1.06,3.19,0,148.69,0,0,1.06,3.19,29.74,0,0,3.19,0,0,1.06,28.68,0,0,67.97,0,0,0,3.19,0,0
 96-106,0,0,2.19,1.09,98.36,1.09,0,0,2.19,48.09,0,0,5.46,0,0,1.09,24.04,0,0,77.59,0,2.19,0,0,2.19,1.09
108-118,0,0,2.3,0.77,124.09,0,0,0,4.6,30.64,0,0,4.6,0.77,0,0,36,0,0,49.02,0,0.77,0,0,0,0
120,0,0,1.96,1.96,105.83,0,0,0,3.92,25.48,1.96,0,3.92,0,0,0,23.52,0,0,47.03,0,1.96,0,0,0,0
