stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,28.32,6.29,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,5.75,0,0,0,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0,0.81,4.83,0,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,0,0.57,0.57,0,1.15,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,1.96,0,0,0.98,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
