stage,blastomeres,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0
 24-34,0,1.64,0,0.82,0,0.82,0,0,0.82,10.67,0,0,0.82,0,0
 36-46,0,0,2.42,1.61,0,0,0,0.81,0.81,13.7,0.81,0,3.22,0,0.81
 48-58,0,0,2.3,1.15,0,0,0,0,0,10.9,0,0.57,1.72,0,0
 60-70,0,0.98,2.94,0.98,0,0,0,0,0,13.74,0,0.98,0.98,0,0
 72-82,0,0,1.96,0.98,0,0,0,2.94,0,10.8,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,1.09,1.09,1.09,0,0,0,0,2.19,0,1.09,0,0,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0.77,0,0.77,0,0,0
120,0,0,9.8,0,0,0,0,0,0,3.92,0,0,0,0,0
