stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0.82,1.64,0,4.93,1.64,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,1.72,0,0.57,0,3.44,0,1.72,4.59,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,5.89,0,0,0,4.91,0.98,0.98,2.94,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,2.94,0.98,0,0,5.89,0,0,2.94,0.98,0.98,0,0,0,0,0.98,0,0
 84-94,0,2.12,0,0,1.06,0,0,2.12,0,0,2.12,0,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,2.19,1.09,0,1.09,0,2.19,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0.77,0,0,1.53,0,3.06,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0
