stage,epidermis,gut,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,somites,vasculature
 10-12,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,4.59,0,0
 60-70,0.98,0,0,0,0,0,0,0.98,0,0,4.91,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,8.83,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,9.56,0,0
 96-106,2.19,0,0,1.09,0,0,0,0,0,3.28,22.95,0,0
108-118,0.77,0,0.77,0,0,0.77,0.77,0,0,0,8.43,0,0.77
120,1.96,1.96,0,0,0,0,0,0,0,0,21.56,0,1.96
