stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,2,0,1,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,1.64,3.28,0,0,41.04,0,1.64,0.82,0,0,0,0,0,0,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,12.89,0,0,0.81,0,0,0,0,4.83,0,1.61,87.01,0,1.61,0.81,0,0,0,0,0,0,12.09,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,18.36,0,0.57,4.59,0,0.57,0,0,2.87,0,2.3,64.84,0,0.57,0,0,0,0,0,0.57,0,13.77,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,18.65,0,0,1.96,0,0,0,0.98,6.87,0,0,37.3,0,0,0,0,0,0,0,0,0.98,6.87,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,23.56,0,0.98,10.8,0.98,0,0,0,17.67,0.98,0.98,58.9,0,0.98,0,0,0.98,0.98,0,0,0,5.89,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,12.74,0,1.06,4.25,0,0,1.06,6.37,4.25,0,0,25.49,0,0,1.06,0,0,0,0,0,0,6.37,0,1.06,0,0
 96-106,0,0,0,0,1.09,3.28,0,12.02,2.19,0,5.46,0,1.09,0,2.19,4.37,0,0,26.23,0,5.46,0,0,0,0,0,0,0,2.19,0,0,2.19,1.09
108-118,0,0,0,0,3.83,1.53,0.77,6.89,0,0,3.83,0,0,0,6.13,3.06,0.77,0.77,34.47,1.53,0,0,0,0,0,0,0,0,2.3,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,3.92,0,1.96,3.92,0,0,0,7.84,1.96,0,0,45.08,1.96,3.92,0,0,0,0,0,0,0,3.92,0,1.96,0,0
