stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,11,3,2,0,0,2,1,0,0,7,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,1.64,0,0,0,0.82,0,0,0,0.82,0,2.46,0,0,6.57,0,0,206.03,0,62.39,1.64,0,0,0.82,0,0,0.82,0.82,10.67,0,0,13.13,0,0.82
 36-46,0,0,0,1.61,0.81,0,23.36,0,0,0,8.86,0,0.81,0,0,0,3.22,0,0,8.06,0,0.81,416.53,0,62.04,0,0,0,0,0,0,0,0,21.75,0,0,15.31,0,0.81
 48-58,0,0,0,5.74,0,0,90.09,0,0.57,1.15,14.35,0,0,0,0,0,1.15,0.57,0,33.85,1.15,1.72,771.19,0,33.28,1.72,0,0,0,0,0,0,0,47.63,0,0,12.62,0,0.57
 60-70,0,0,0,2.94,0,0,95.21,0,0.98,0.98,4.91,0,0,1.96,0,0,0.98,0,1.96,105.02,2.94,0.98,988.39,0,50.06,1.96,0,2.94,0,0,0,0.98,0,61.84,0,3.93,22.58,0,0.98
 72-82,0,0,0,7.85,0.98,0,120.74,0,0,0.98,20.61,0,0,0.98,0,0.98,5.89,0,0,197.31,10.8,3.93,728.39,0,77.55,5.89,0,9.82,2.94,0,0,0,0,82.46,0,12.76,33.38,0,0.98
 84-94,0,0,1.06,7.43,1.06,0,103.02,0,0,2.12,9.56,0,1.06,0,1.06,0,4.25,0,0,118.95,13.81,2.12,371.71,0,52.04,3.19,0,7.43,5.31,0,0,0,0,44.61,1.06,7.43,23.36,0,1.06
 96-106,0,0,0,10.93,2.19,0,81.96,1.09,0,0,20.76,1.09,0,1.09,0,0,8.74,2.19,2.19,121.31,9.84,3.28,350.8,0,95.08,2.19,0,19.67,4.37,0,0,0,0,38.25,0,6.56,40.44,1.09,0
108-118,0,0,0,2.3,0.77,0.77,57.45,0,0,0.77,7.66,0,0,0,0,0.77,4.6,0,0,108.77,6.13,3.83,417.45,0,68.17,0.77,0,11.49,2.3,0,0.77,0,0,17.62,0.77,3.06,29.87,0,0
120,1.96,0,0,5.88,0,0,52.91,0,0,0,7.84,0,0,0,0,0,7.84,1.96,0,60.75,0,0,309.65,1.96,45.08,3.92,0,9.8,0,0,0,0,0,11.76,0,3.92,7.84,0,0
