stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,2,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,7,34,6,0,2,0,0,0,1,0,1,17,0,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0.82,0,0,0,0,0,0.82,0,0,10.67,0,0,4.93,108.35,0.82,2.46,2.46,0,0,0,0,0,0,30.37,0,0,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0,2.42,0,0,0,0,0,0,0.81,0,12.09,0,0,3.22,182.08,3.22,0.81,0,0,0,0.81,0,0,0.81,37.87,0,0,0,0,0
 48-58,0,0,0,0,0.57,16.64,0.57,0,0.57,5.74,0.57,0,0,0,0,0,0,0,20.08,0.57,0,1.72,212.31,1.72,0.57,1.15,0,0,0,0,0,0,44.18,0,0,0,0,0
 60-70,0,0,0,0,0,33.37,0,0.98,0.98,17.67,0,0.98,0,0,0,0,0,0,22.58,0,1.96,4.91,281.7,0,0.98,1.96,0,0,1.96,0,0,0,40.24,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,34.36,0,0,1.96,27.49,0,0,0,0,0.98,2.94,0,0,18.65,0,0.98,1.96,216.95,0,1.96,1.96,0,0,0,0,0,0,19.63,2.94,0,0.98,0,0.98
 84-94,0,0,0,1.06,1.06,27.61,0,0,0,11.68,0,0,0,1.06,1.06,0,0,0,11.68,0,0,2.12,93.46,0,0,1.06,0,1.06,0,0,0,0,7.43,1.06,2.12,0,0,0
 96-106,0,0,0,5.46,0,18.58,1.09,0,0,17.49,1.09,0,0,0,0,2.19,0,1.09,13.11,0,1.09,0,74.31,1.09,1.09,4.37,0,0,0,0,0,0,6.56,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,19.92,0,0.77,0,9.19,0,0,0.77,0,0.77,0.77,0,0,9.19,0.77,0,0.77,82.72,1.53,0,4.6,0,0,0,0,0,0,2.3,1.53,0.77,0,1.53,0.77
120,0,0,0,5.88,0,9.8,0,0,0,9.8,0,0,0,0,1.96,1.96,0,0,5.88,0,0,1.96,107.79,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0
