stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,0,18.4,0,0,23.66,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,504.71,26.29,0,0,189.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,0,59.79,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,453.16,15.73,0,0,166.79,0,0,6.29,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,65,15,24,0,0,0,8,2,0,1,1,2,0,0,0,0,30,0,0,21,419,5,2,2,12,0,5,1,52,3,4,42,125,0,0,3,0,0
 24-34,0.82,0,0.82,3.28,31.19,3.28,95.22,0,1.64,1.64,15.6,0.82,0,1.64,0,1.64,0,1.64,0.82,0.82,63.21,1.64,0,36.12,623.03,4.1,10.67,2.46,0,0.82,14.78,0,0,3.28,0.82,10.67,147.75,0,0,15.6,0,2.46
 36-46,0,0,0,0,11.28,4.03,160.33,0.81,2.42,0.81,16.92,0,0,2.42,0.81,0,0.81,2.42,1.61,1.61,58.81,0.81,0,17.72,489.85,1.61,5.64,2.42,0,0,10.47,0.81,0.81,0.81,0.81,0,114.41,0,0,8.86,0.81,0.81
 48-58,0,0,0,0,6.31,1.72,187.06,0,1.72,4.59,20.08,1.15,0.57,1.15,0.57,0.57,1.15,2.3,0.57,1.15,73.45,0,1.72,17.79,332.81,1.72,3.44,1.15,0,0.57,5.16,0,0,0.57,0,0,67.14,0,0,7.46,0,2.3
 60-70,0,0,0,0,11.78,0,166.86,0.98,4.91,3.93,26.5,0,0,0.98,2.94,0.98,0,1.96,0,0,58.89,0.98,0,4.91,293.48,0,6.87,2.94,0,0,9.82,0,0.98,0.98,0,0,34.35,0,0,7.85,0.98,0
 72-82,0,0,2.94,0,10.8,9.82,150.19,0.98,1.96,5.89,34.36,6.87,0,2.94,2.94,1.96,0,0.98,0.98,0.98,129.58,0,6.87,14.72,291.55,0,5.89,2.94,0,0,17.67,0,0,1.96,0,0,33.38,0,5.89,3.93,1.96,0
 84-94,0,0,1.06,0,36.11,3.19,100.89,1.06,4.25,6.37,35.05,6.37,1.06,2.12,9.56,0,4.25,2.12,1.06,2.12,78.59,6.37,8.5,14.87,146.56,4.25,4.25,8.5,0,1.06,47.79,0,0,0,0,0,12.74,3.19,0,12.74,4.25,6.37
 96-106,0,0,3.28,0,18.58,10.93,87.43,0,3.28,4.37,34.97,9.84,0,6.56,10.93,5.46,0,7.65,0,0,72.13,1.09,5.46,6.56,142.07,0,10.93,6.56,0,0,24.04,0,0,0,0,0,12.02,7.65,1.09,18.58,2.19,6.56
108-118,0,0,2.3,0,32.94,6.13,79.66,0,5.36,3.06,29.87,4.6,0,0,4.6,7.66,4.6,0.77,0.77,2.3,65.11,1.53,2.3,9.96,199.15,0.77,5.36,6.89,0,0.77,22.98,0,0,0.77,0,0,9.96,1.53,0.77,11.49,3.06,3.83
120,0,0,1.96,0,25.48,5.88,64.67,0,3.92,1.96,33.32,5.88,0,3.92,15.68,5.88,5.88,0,1.96,1.96,66.63,1.96,0,9.8,182.26,0,3.92,1.96,0,3.92,39.2,0,0,3.92,0,0,9.8,0,0,9.8,1.96,1.96
