stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,15,1,0,0,0,2,1,0,0,9,0,0,0,0,0
 24-34,0,0,1.64,0,1.64,2.46,0,0,0,0,0.82,1.64,0,0,1.64,0,0,1.64,64.03,0,3.28,0,0,7.39,0,1.64,0,24.63,0,0,3.28,0,0
 36-46,0,0,0.81,0,8.86,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,122.46,0,1.61,0,0,5.64,0,0,0,37.87,0,0,1.61,0,0.81
 48-58,0,0,1.15,0,35.58,0,0,5.74,0,0,0.57,0,0,0.57,2.3,0,0,3.44,154.35,0,2.3,0.57,0.57,6.31,0,0,0,26.97,0,0,2.3,0,0
 60-70,0.98,0,0,0,56.93,0.98,0,9.82,0,0,0,0.98,0,0,5.89,0,0.98,0.98,224.77,0,2.94,0,0,4.91,0,0,0,24.54,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,96.2,0,2.94,7.85,2.94,0,0,0,0,0,9.82,1.96,0.98,0.98,229.71,0.98,1.96,0.98,0,0.98,0,0,0,13.74,0,1.96,2.94,0,0.98
 84-94,0,0,5.31,0,48.85,2.12,1.06,6.37,4.25,1.06,1.06,1.06,0,1.06,10.62,1.06,1.06,0,99.83,0,1.06,1.06,0,14.87,0,0,1.06,10.62,1.06,1.06,1.06,0,1.06
 96-106,1.09,0,6.56,1.09,41.53,0,0,7.65,0,0,0,2.19,0,2.19,6.56,1.09,0,0,71.04,0,2.19,1.09,1.09,2.19,0,0,0,4.37,2.19,0,1.09,0,0
108-118,0,0,3.83,1.53,22.21,0.77,0.77,4.6,3.06,0,1.53,0,2.3,0.77,9.96,0,0,1.53,65.87,0,2.3,0,0,3.06,0,0,0,1.53,0.77,0,0.77,0.77,0
120,0,1.96,5.88,1.96,13.72,1.96,0,5.88,3.92,0,0,0,0,1.96,3.92,1.96,0,0,54.87,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
