stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,27,1,0,0,1,0,0,3,0,0,1,8,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0.82,1.64,0,0,0,1.64,0.82,0,0,0,1.64,0,0,13.13,0,0,1.64,0,0,0,0,0,0,0.82,4.1,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,1.15,2.3,0,0.57,0,1.15,0,0,0,0,0.57,0,0,1.72,0,0,2.87,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,1.96,0.98,0,0,0.98,2.94,0,0,5.89,0,0,2.94,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,3.93,0,14.72,2.94,0.98,0.98,7.85,0.98,0,0,0.98,2.94,0,0.98,0,25.52,0,0.98,26.5,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,7.43,2.12,0,9.56,0,1.06,1.06,1.06,0,0,1.06,1.06,6.37,0,0,0,23.36,0,0,20.18,0,0,3.19,0,0,1.06,0,1.06,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,10.93,1.09,1.09,0,7.65,0,0,0,4.37,6.56,0,0,2.19,12.02,0,2.19,15.3,0,2.19,4.37,0,0,5.46,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,6.13,4.6,0.77,31.4,1.53,1.53,3.06,13.02,1.53,0,0.77,6.13,8.43,1.53,0.77,1.53,45.19,1.53,5.36,74.3,0,0,6.89,0,0,5.36,0,0,0,0,0,0,0.77,3.06,0.77
120,0,0,0,0,3.92,3.92,1.96,21.56,0,0,0,11.76,3.92,0,0,7.84,5.88,7.84,0,0,29.4,0,0,62.71,0,0,0,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0
