stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,7.89,0,0,0,23.66,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,157.72,18.4,0,0,49.95,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,0,0,25.18,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,368.2,12.59,0,0,122.73,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,2,41,7,0,19,1,0,2,1,1,1,0,1,0,0,0,2,16,0,0,16,172,4,0,3,0,0,5,0,32,3,31,60,0,0,4,0,0
 24-34,0,0,0,2.46,9.85,1.64,0,18.88,0.82,0,4.93,0,0,0.82,0.82,3.28,0.82,0.82,0,0.82,27.91,0.82,0,23.8,218.35,1.64,0.82,3.28,0,0,5.75,0,0,1.64,4.1,68.13,0,0,15.6,0,2.46
 36-46,0,0,0,0.81,6.45,0.81,0,53.17,0.81,1.61,20.14,0,0,1.61,0,0,0,0.81,1.61,0.81,82.98,0.81,0.81,30.62,330.32,0,2.42,2.42,0,0.81,12.09,0,0,0,0,105.54,0,0,11.28,0,0.81
 48-58,0,0,0,0,4.02,0,0,45.9,1.15,0,13.77,0,0,0,1.15,0,0,0,0.57,0,33.85,0.57,0.57,3.44,103.86,0,0,1.72,0,0,2.87,0,0,0,0,17.79,0,0.57,5.74,0,0
 60-70,0,0,0.98,0,4.91,0.98,0,114.84,0,3.93,52.02,0,0,0,0.98,0.98,2.94,1.96,0,0,73.61,0,4.91,8.83,178.64,0,3.93,0,0,0,3.93,0,0,0.98,0,26.5,0.98,2.94,4.91,0.98,0.98
 72-82,0,0,0,0,2.94,0,0.98,38.28,0.98,1.96,17.67,3.93,0,0,11.78,0,0,2.94,0,0,36.32,0,1.96,0.98,66.75,0,0,1.96,0,0,0.98,0,0,0,0,2.94,0,1.96,5.89,0,0
 84-94,0,0,0,0,10.62,0,0,66.91,0,3.19,25.49,6.37,0,2.12,23.36,0,0,0,1.06,1.06,53.1,1.06,6.37,7.43,94.52,0,2.12,1.06,0,1.06,19.12,0,0,0,0,8.5,1.06,1.06,8.5,1.06,0
 96-106,0,0,0,0,13.11,1.09,0,24.04,0,1.09,20.76,4.37,0,2.19,34.97,1.09,1.09,1.09,0,0,29.51,0,0,5.46,53.55,2.19,3.28,6.56,0,0,9.84,0,0,0,0,3.28,1.09,2.19,7.65,3.28,0
108-118,0,0,0,0,14.55,0.77,0.77,23.74,0,3.83,23.74,5.36,0,0,22.21,0.77,1.53,3.06,0.77,0,32.94,0,0.77,3.83,69.7,1.53,2.3,2.3,0,1.53,9.96,0,0,0,0,3.06,0.77,0,7.66,0,0.77
120,0,0,0,0,5.88,3.92,1.96,23.52,1.96,1.96,9.8,1.96,0,0,21.56,1.96,1.96,0,0,0,11.76,0,0,1.96,47.03,0,1.96,1.96,0,0,11.76,0,0,0,0,1.96,0,1.96,1.96,0,0
