stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,2.63,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,52.57,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,62.94,0,0,0,3.15,0,0,12.59,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,8,12,0,0,1,2,0,0,1,20,0,37,154,8,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,2.46,0.82,0,0,0,0,0,0,0,0,4.93,0,0,7.39,41.86,0,0,2.46,0,0,4.93,0,0,0,3.28,7.39,11.49,0,0.82,0
 36-46,0,0,0,4.03,0.81,0,9.67,8.06,0.81,0,0.81,0,0,0,0,0,0,0,12.89,0,0,12.89,39.48,0,2.42,0,0,0,2.42,0,0,0.81,5.64,0,7.25,0,1.61,0
 48-58,0,0,0,0,0,0,6.31,10.33,0.57,1.15,2.87,0,0.57,0,0,0,0,0,16.07,0,0,17.21,20.08,0,0,0.57,0.57,0,1.72,0,0,0,6.89,0,4.59,0,0,0
 60-70,0,0,0,0.98,0,0,18.65,8.83,0.98,0,2.94,0,0,0,0,0,0,0,25.52,0,0,10.8,23.56,0,0.98,3.93,0,0,5.89,0.98,0,0,8.83,0,7.85,0,0,0
 72-82,0,0,0,1.96,0.98,0,20.61,18.65,0,0.98,1.96,0,0,0,0,0,0,0.98,35.34,0.98,2.94,18.65,22.58,0.98,0.98,0,0,0,3.93,0,0,0,8.83,0,4.91,0,0,0
 84-94,0,0,0,1.06,2.12,0,10.62,20.18,1.06,0,5.31,0,0,0,0,0,0,0,28.68,0,0,20.18,25.49,0,0,0,0,0,11.68,0,0,0,9.56,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,7.65,20.76,1.09,0,2.19,0,0,1.09,0,0,1.09,0,39.34,0,1.09,20.76,9.84,0,0,1.09,2.19,0,2.19,0,0,0,14.21,0,1.09,0,3.28,1.09
108-118,0,0,0,0,0.77,1.53,7.66,29.11,0.77,0,5.36,0,0.77,0,0,1.53,0,0,24.51,0.77,0,19.15,22.98,0.77,0,0.77,0,0.77,3.83,0,0,0,26.04,0,0.77,0.77,0.77,0
120,0,0,0,5.88,0,0,1.96,23.52,0,0,3.92,0,0,0,0,1.96,0,0,15.68,0,0,9.8,31.36,0,0,0,0,0,5.88,0,0,0,5.88,0,0,0,0,0
