stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,94.63,5.26,0,0,34.17,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,2,0,3,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0.82,0.82,0.82,1.64,0,1.64,0,3.28,0,0.82,0.82,0,1.64,0,0,1.64,0,0.82
 36-46,0,0,0,0,1.61,2.42,0,0,0,0,0,0,0,0,0.81,0.81,4.83,0,0,0,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,0,1.72,0,5.16,0,0.57,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,2.94,0,1.96,0,0,0,0,0,0,1.96,0,7.85,0,0,0,0,3.93,0,0.98,0.98,0.98,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
