stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,1,0,0,0,0,63,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,331.63,0,2.46,0.82,0,0.82,0,0,114.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,40.28,0,0,0,4.83,0,0,0,0.81,0,0,0,1.61,0,0,0.81,944.24,0,0,0.81,0,0.81,0,0,128.1,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,70.58,0,0,1.72,13.77,0,0,0,0.57,2.3,0,0.57,6.31,0.57,0,1.72,1039.73,0.57,1.15,4.02,0,1.72,0.57,0,107.88,0,0.57,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,71.65,0,0,0.98,16.69,0.98,0,0,0.98,0,0,0,10.8,0,0.98,1.96,984.47,0.98,0,5.89,0,0,0,0,59.87,0,0,1.96,0,1.96
 72-82,0,0,0,5.89,1.96,0,101.11,0,0,1.96,27.49,0,0.98,0,1.96,0.98,0.98,0.98,17.67,0,0,0.98,770.6,0,0.98,12.76,0,1.96,0,0,40.25,0,0,0,0,2.94
 84-94,0,0,0,8.5,0,0,99.83,1.06,1.06,1.06,30.8,0,0,0,1.06,0,0,0,7.43,0,1.06,1.06,441.81,1.06,1.06,14.87,0,2.12,0,1.06,29.74,0,0,0,0,0
 96-106,0,1.09,0,12.02,0,1.09,57.92,0,0,0,18.58,0,0,1.09,1.09,8.74,1.09,0,8.74,0,0,1.09,350.8,0,0,18.58,0,1.09,0,0,8.74,1.09,1.09,0,1.09,0
108-118,0,0,0,4.6,1.53,0,31.4,0,0,0,8.43,2.3,1.53,0,0.77,0.77,0.77,0,7.66,0,0.77,0,407.49,0,0,10.72,0,0.77,0,0,6.13,0,0,0,0,1.53
120,0,0,0,7.84,3.92,1.96,70.55,0,0,3.92,13.72,1.96,0,0,0,5.88,0,0,9.8,0,0,0,423.31,0,3.92,13.72,0,3.92,0,0,3.92,0,0,0,0,0
