stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,310.19,10.51,0,0,92,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,509.81,15.73,0,0,135.32,3.15,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,14,22,4,1,0,0,9,3,0,0,0,1,0,7,0,7,51,3,0,1,5,14,10,16,7,156,0,5,0,0
 24-34,0,0,0,4.1,2.46,2.46,1.64,0,0,11.49,0,0,1.64,0,0,0,12.31,0,7.39,72.24,0.82,0,0.82,0,5.75,0,7.39,4.1,236.41,0,18.06,0,0.82
 36-46,0,0,0,0,1.61,0,0.81,0.81,0.81,2.42,0,0,0.81,0.81,0.81,0,6.45,0,2.42,50.76,0,0,0,0,2.42,0,2.42,0,164.36,0,4.03,0,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,4.59,0,0.57,0,1.15,0.57,0,5.74,0.57,2.3,33.85,0,0.57,0,0,0,0,0.57,0,80.91,0,1.72,0,0
 60-70,0,0,0,0,0,0,4.91,0,0.98,6.87,0,0,2.94,0,0,0,3.93,0,0,27.48,0.98,0,0,0,0.98,0,0,0,33.37,0,1.96,0,0
 72-82,0,0,0.98,0,0.98,0.98,5.89,0,0.98,5.89,1.96,0,27.49,0,0,0,5.89,0.98,0.98,28.47,0,0.98,0,0,0,0,0.98,0,23.56,0,2.94,1.96,0
 84-94,0,0,0,0,1.06,0,0,0,0,6.37,0,0,24.43,0,4.25,0,7.43,2.12,1.06,6.37,0,0,0,0,2.12,0,0,0,7.43,2.12,6.37,0,0
 96-106,0,0,0,0,5.46,2.19,1.09,0,0,8.74,0,0,48.09,1.09,0,0,4.37,3.28,1.09,15.3,0,1.09,0,0,1.09,0,0,0,5.46,1.09,9.84,0,0
108-118,0,0,0.77,0,2.3,1.53,0.77,0,0.77,6.13,0.77,0,49.79,0,6.13,0.77,2.3,0,0,9.19,0,0,0,0,0.77,0,0,0,1.53,0,5.36,0,1.53
120,0,0,0,0,0,1.96,3.92,0,0,1.96,0,0,47.03,1.96,3.92,0,3.92,1.96,0,15.68,0,0,0,0,1.96,0,0,0,1.96,1.96,9.8,0,0
