stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0.82,0.82,11.49,0,0,0,0,0.82,2.46,0.82
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.15,1.15,0,0.57,0.57,3.44,0.57,0.57,0,1.15,0,2.87,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,3.93,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0.98,1.96,0.98,2.94,0,6.87,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,1.06,0,1.06,0,3.19,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
