stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2,0,0,0,0,1,0,1,53,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.93,0,0,8.21,0,0,0,0,0,0,0,0.82,0,0,0,0.82,361.18,0,5.75,0,0,0,1.64,0,2.46,0,183.87,0,0,0.82,0,2.46
 36-46,0,0,0.81,0,0.81,0,0,10.47,0,0,54.79,0,0,0,0,0.81,0,0,2.42,7.25,0,0,3.22,844.34,0,6.45,1.61,0,0,0.81,0,0,0,297.29,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,4.02,0,0,70,0,0.57,137.14,0,0,0.57,1.15,0.57,0,0,3.44,17.21,0,0,3.44,1232.53,0.57,3.44,1.15,0,0,1.15,0,0.57,0,329.36,0,0,0.57,0,2.3
 60-70,0,0,0,0,2.94,0,0,301.33,0.98,0.98,184.53,0,0,0,0.98,0,0,0,0.98,19.63,0,0,2.94,2096.53,0,0.98,0.98,0,0,2.94,0,0,0,288.57,0,0,0.98,0.98,0
 72-82,0,0,5.89,0,16.69,3.93,0,537.95,0.98,0,264.07,0.98,0,0.98,0,0.98,0,0,1.96,33.38,0,1.96,0.98,2224.45,0,4.91,0,0,0,1.96,0,0,0,196.33,0.98,0,1.96,0,0.98
 84-94,0,0,2.12,0,10.62,1.06,0,384.46,0,0,164.62,0,0,0,1.06,5.31,1.06,0,2.12,15.93,0,1.06,2.12,1158.68,0,1.06,0,0,1.06,5.31,0,0,0,108.33,0,2.12,1.06,7.43,2.12
 96-106,0,0,0,0,9.84,3.28,0,342.06,2.19,0,163.93,1.09,0,0,2.19,0,0,3.28,1.09,41.53,1.09,1.09,1.09,1001.05,0,3.28,1.09,0,0,6.56,0,0,0,53.55,2.19,0,2.19,3.28,3.28
108-118,0,0,1.53,0,10.72,0.77,0.77,224.43,0.77,1.53,133.28,1.53,0,0,3.83,0.77,0,0.77,6.13,17.62,0,0,3.83,1075.41,0,1.53,0.77,0,0,3.83,0,0,0,35.23,0,0,2.3,1.53,2.3
120,0,0,0,3.92,13.72,3.92,0,201.86,1.96,0,135.23,3.92,0,1.96,0,0,0,0,3.92,21.56,0,0,5.88,1185.67,0,1.96,1.96,0,0,3.92,0,3.92,0,33.32,0,1.96,0,1.96,1.96
