stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,15,0,0,0,0,1,0,0,1,3,0,1,5,0,7,0,0
 24-34,0,0,0.82,0,7.39,0,0.82,0.82,1.64,4.1,0,0,0,3.28,0,11.49,1.64,4.1,0,0.82,35.3,0,7.39,4.1,0,0,3.28,16.42,0.82,2.46,0,0.82
 36-46,0,0,1.61,0,1.61,0,1.61,0.81,0,4.03,0,0,0,0,0.81,2.42,2.42,6.45,0,0,90.23,0.81,6.45,7.25,0,0,5.64,11.28,0,3.22,0,0
 48-58,0,0,0.57,0.57,9.75,0.57,0.57,0.57,0,8.61,2.3,0,0,2.3,0,1.15,1.15,4.59,0,0,45.9,0,4.02,9.18,0,0,5.74,3.44,0,4.02,0,0
 60-70,0,0,0,0,6.87,0,8.83,0,0,21.59,8.83,0.98,0,0.98,2.94,0.98,0.98,2.94,0,0,29.45,0,3.93,9.82,0,0,3.93,4.91,0,4.91,1.96,0
 72-82,0,0,4.91,0,0.98,0.98,5.89,1.96,0,30.43,6.87,0,0.98,0,3.93,0,2.94,10.8,0,0,45.16,0,5.89,16.69,0,0.98,0.98,8.83,0,0.98,5.89,0
 84-94,0,0,2.12,0,6.37,0,5.31,3.19,2.12,20.18,16.99,0,0,1.06,5.31,2.12,0,4.25,3.19,0,28.68,1.06,2.12,21.24,0,0,4.25,16.99,0,1.06,12.74,1.06
 96-106,0,0,2.19,1.09,3.28,0,6.56,1.09,1.09,27.32,15.3,0,0,0,2.19,2.19,3.28,4.37,1.09,0,25.14,0,4.37,13.11,0,0,7.65,15.3,0,3.28,21.86,0
108-118,0,0,3.83,0,3.83,0.77,8.43,0.77,0,16.85,29.87,0.77,0,0,3.06,3.06,1.53,3.83,1.53,0,19.92,0.77,5.36,16.09,0,0,8.43,11.49,0,0.77,43.66,0
120,1.96,0,1.96,0,13.72,0,3.92,0,0,31.36,48.99,0,0,0,3.92,3.92,1.96,1.96,1.96,0,31.36,0,25.48,9.8,0,0,9.8,11.76,0,3.92,37.24,1.96
