stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,53.5,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,144,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,15,3,0,9,10,0,0,5,0,3,0,53,0,31,234,1,0,0,0,0,0
 24-34,0,0,2.46,1.64,136.26,0,0,0,2.46,13.95,0,1.64,0.82,0,0,0,6.57,20.52,1.64,0,18.88,2.46,0,14.78,22.16,0,4.93,43.51,0,4.93,0,0.82,3.28,15.6,42.68,2.46,0,0,1.64,0,0.82
 36-46,0,0,0,0,53.17,0,0,3.22,3.22,10.47,0,5.64,0,0,0,0,1.61,25.78,1.61,0,8.06,0,0,16.92,42.7,0,8.06,28.2,0,3.22,0,0,0.81,6.45,0.81,5.64,0,0,0,0,0
 48-58,0,0,0,0.57,54.51,0,0,5.16,7.46,14.35,0,18.36,2.3,0.57,0,0,1.72,30.99,0,0,6.89,0,0,35.58,41.89,0,6.31,21.23,0,1.15,0,0,0,5.16,0,8.03,0,0,0,0,0
 60-70,0,0,0.98,0,86.37,0,0,8.83,8.83,11.78,0,15.7,16.69,0,0,0,0.98,36.32,0,0,7.85,0.98,0,19.63,24.54,0,5.89,25.52,0,6.87,0,0,0,0.98,0,5.89,0.98,0,0,0.98,0
 72-82,0,0,3.93,0,148.23,0.98,0,11.78,7.85,3.93,0,20.61,42.21,0,0,0.98,3.93,50.06,0.98,0,12.76,2.94,0.98,11.78,36.32,0,25.52,39.27,0,10.8,0,0,0,2.94,0,0,3.93,0,0.98,0,0.98
 84-94,0,0,6.37,0,291,0,0,10.62,6.37,31.86,1.06,14.87,49.92,0,0,0,9.56,49.92,0,0,4.25,5.31,0,15.93,14.87,0,11.68,33.99,0,20.18,0,0,1.06,1.06,0,2.12,4.25,0,0,2.12,0
 96-106,0,0,5.46,2.19,334.41,0,1.09,15.3,9.84,41.53,0,15.3,71.04,0,1.09,4.37,8.74,52.46,2.19,0,7.65,5.46,0,7.65,44.81,0,24.04,56.83,0,24.04,0,0,1.09,1.09,0,0,3.28,0,1.09,0,1.09
108-118,0,0,3.06,2.3,343.92,0.77,0,6.89,7.66,40.6,0.77,5.36,63.57,0,0,1.53,12.26,41.36,1.53,0.77,11.49,3.83,0,9.19,35.23,0,23.74,42.89,0,22.21,0,0,0,1.53,0,2.3,5.36,0.77,0.77,0,0
120,1.96,0,1.96,0,262.61,1.96,1.96,5.88,5.88,19.6,0,5.88,52.91,0,0,0,7.84,19.6,1.96,0,1.96,1.96,0,19.6,9.8,1.96,9.8,27.44,0,21.56,0,0,0,0,0,0,1.96,0,0,3.92,0
