stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,2,0,1,3,1,0,0,0,0,5,0,8,7,0,0,0
 24-34,0.82,0.82,0,0,1.64,0,0.82,0,0,0,0,3.28,0,0,0.82,0.82,1.64,0.82,0.82,9.85,0,0,0,0,2.46,0,0,0.82,6.57,0,1.64,0
 36-46,0,0,0,0.81,1.61,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,1.61,3.22,0,0,0,0,4.03,0,0,0,3.22,0,0,0.81
 48-58,0,0,0.57,0,2.87,0,0.57,0.57,0,0,0,1.15,0,0.57,0,1.15,0.57,0,1.15,4.02,0,0,0,0,1.72,0,0,0,2.3,0,0,0.57
 60-70,0.98,0,0.98,0,5.89,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0,4.91,0,0,5.89,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,6.87,0,0,0.98,1.96,0,0,0.98,0,0,0,0,2.94,0,0,10.8,0,0.98,0,0,3.93,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,1.06,0,3.19,0,1.06,1.06,0,0,0,1.06,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0,11.68,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0,1.09,0,1.09,4.37,0,1.09,0,0,6.56,0,0,0,0,0,2.19,1.09
108-118,0.77,0,3.06,0,1.53,0,0,0.77,0,0,0,0,0,2.3,0,0,0,0,0,3.06,0,1.53,0.77,0,4.6,0,0,0,0,0,0.77,0
120,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,11.76,0,0,0,0,0,0,1.96
