stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,1,7,5,0,7,0,0,4,0,0,0,0,0,0,1,9,0,0,3,104,2,1,1,1,0,10,1,4,32,0,2,0
 24-34,0.82,0.82,5.75,0,0,78.8,0.82,0,2.46,0,0,1.64,0,0,0.82,0,34.48,0,0,8.21,476.1,0.82,1.64,1.64,0,2.46,0,0,0.82,82.09,0,4.93,0
 36-46,0,0,4.83,4.03,0,174.02,0,0,12.09,0.81,0,0.81,0,0,0,0,20.95,0,1.61,3.22,372.22,0.81,2.42,2.42,0,3.22,0,0,0,58.81,0,1.61,0
 48-58,0,0,0.57,1.72,0,214.03,0,0,9.75,0,0.57,0.57,0,0.57,1.15,0.57,31.56,0.57,2.87,6.31,177.88,0.57,0,0.57,0,2.3,0,0,0,25.25,0,0.57,0
 60-70,0,0,3.93,0.98,0,186.49,0.98,0,10.8,0.98,0,1.96,0,0,0.98,0.98,32.39,0,0.98,0,115.82,1.96,0.98,0.98,0,0,0,0,0,9.82,0,0.98,0
 72-82,0,0,1.96,0.98,0,53.99,0,0,10.8,1.96,0,0.98,0,0,0.98,0,17.67,0,0.98,0.98,55.95,0,1.96,0,0,0.98,0,0,0,0.98,0,1.96,0
 84-94,0,0,5.31,1.06,1.06,53.1,0,1.06,10.62,1.06,1.06,3.19,0,0,1.06,0,28.68,0,2.12,6.37,47.79,0,0,0,0,1.06,0,1.06,0,1.06,1.06,5.31,0
 96-106,0,0,0,0,0,28.41,0,0,4.37,1.09,0,1.09,0,0,0,0,10.93,0,0,1.09,28.41,0,0,2.19,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,4.6,8.43,0,26.04,0,0,4.6,1.53,0,0.77,0.77,0,0,0,6.89,0,0.77,0.77,39.06,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0
120,0,0,3.92,1.96,0,41.16,0,0,15.68,1.96,0,5.88,1.96,0,0,0,9.8,0,0,1.96,80.35,0,0,3.92,0,0,0,0,0,1.96,0,1.96,0
