stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0
 24-34,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,1.64,0,1.64,0,0,0,0,0,0.82,0,6.57
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,5.64,0,1.61,0,0,0,0,0,0,1.61,24.98
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,6.31,0.57,0,0,0,0,0,0,0,0,36.72
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0,3.93,0,0,0.98,0,0,0,0,40.24
 72-82,0,0,0,0,1.96,0,0,4.91,0,0.98,0,0.98,2.94,0.98,1.96,0,0,0,1.96,0,0,0,15.71
 84-94,0,0,0,0,2.12,0,0,3.19,0,0,0,3.19,3.19,1.06,1.06,0,0,0,1.06,0,0,0,13.81
 96-106,0,0,0,1.09,4.37,1.09,0,12.02,0,0,0,4.37,0,1.09,4.37,0,0,0,0,0,0,0,8.74
108-118,0,0,0,0,0.77,0.77,0,15.32,0,0,0.77,9.19,0.77,0.77,3.83,0,0,0,0.77,0,0,0,7.66
120,0,0,1.96,0,0,0,0,7.84,0,0,0,11.76,0,0,0,0,0,1.96,1.96,0,0,0,0
