stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,13.14,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,43,0,1,0,1,1,5,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0.82,0,1.64,0,0,131.34,0.82,0,0,0,0,20.52,0,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,0,0.81,86.21,0,0,0,0.81,0,26.59,0,0,0,0.81
 48-58,0,0,0,0.57,0,12.05,0,0,0.57,0,0,24.67,0,0.57,0,0.57,0,7.46,0,0,0,0
 60-70,0,0,1.96,2.94,0,16.69,0,0,0,0,0,17.67,0,0,0,0.98,0,3.93,0,0,0,0
 72-82,0,0,0,1.96,0,26.5,0,0,0.98,0,0.98,13.74,0,0.98,0,0,0,1.96,0.98,0,0,0
 84-94,0,0,2.12,0,0,7.43,0,0,1.06,0,0,7.43,0,1.06,0,2.12,0,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,5.46,1.09,17.49,1.09,1.09,1.09,0,1.09,12.02,0,1.09,0,4.37,0,0,0,0,0,0
108-118,0,0,0,1.53,0,15.32,0,0.77,0,0.77,0.77,11.49,0,3.06,0,0.77,0,0,0,0,0,0
120,0,0,0,5.88,0,11.76,1.96,0,0,0,0,9.8,0,3.92,0,0,0,0,0,0,0,0
