stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,8,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,50.89,0.82,1.64,0,0,0,1.64,0,1.64,17.24,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,102.32,0,2.42,0,0,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,0.57,0,0,18.94,0.57,0,4.02,0,0,0,0,0,0,0,3.44,0,1.72,161.24,0,1.72,1.72,0,0,0.57,0,0,26.4,0,0.57,0,0
 60-70,0,0,0,2.94,0,0,44.17,0,1.96,3.93,0,0,0,0,0,0,0,6.87,0,0,227.71,0,0,1.96,0,0,0,0,0,21.59,0,0,0,0
 72-82,0,0,0,0,0,0,65.77,0,0,6.87,0.98,0,0,0.98,0,0,0,11.78,0,0.98,266.03,0,2.94,9.82,0,0,0,0,0,18.65,0,0.98,0,0.98
 84-94,0,0,0,1.06,2.12,0,43.54,0,0,4.25,0,1.06,0,0,1.06,0,1.06,7.43,0,0,128.51,0,7.43,6.37,0,0,2.12,0,0,9.56,1.06,3.19,2.12,0
 96-106,0,0,0,2.19,0,0,44.81,0,0,9.84,1.09,0,0,0,0,1.09,1.09,12.02,0,0,120.21,0,14.21,22.95,0,0,1.09,0,0,3.28,0,3.28,1.09,0
108-118,0,0,0,0.77,0.77,0.77,35.23,0,2.3,9.19,0,0,0.77,0,0,0,0,6.89,0.77,0.77,116.43,0.77,3.83,10.72,0,0.77,0.77,0,0,2.3,0,0.77,0.77,0
120,0,0,0,1.96,0,1.96,33.32,0,0,3.92,1.96,0,0,0,0,0,0,5.88,0,0,203.82,1.96,11.76,9.8,0,0,0,0,0,13.72,0,5.88,0,0
