stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,30.65,1035.91,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,12.26,0,18.39,0,0,0,0
  7-9,21.03,21.03,60.46,0,2.63,55.2,0,0,0,28.92,0,0,0,680.84,13.14,0,310.19,0,5.26,0,0,0,0
 10-12,0,9.44,34.62,0,6.29,50.35,0,0,0,15.73,0,0,0,629.39,6.29,0,324.14,0,0,25.18,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0.82,0,8.21,0,0,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,2.42,0,0.81,0.81,0,0,0.81,0,20.14,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.59,0,0,0.57,0,0,1.72,0.57,16.64,0,0,0,0,0,0,0,4.02,0.57
 60-70,0,0,0,0,0,13.74,0,0,0,0,0,0,0,13.74,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,1.96,0.98,7.85,0,0,0.98,0,0,1.96,0,12.76,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,0,1.09,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0,0.77,0,0,0.77,0,4.6,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
